id_pedido,data,id_cliente,tipo_cliente,estado,regiao,id_produto,categoria_Produto,quantidade,preco_unitario,modo_pagamento,canal,status,tempo_entrega_dias,avaliacao,cupom_usado,valor_bruto,custo_frete,valor_desconto,valor_final,ano,mes,dia_semana
ORD000016,2025-05-11,2125,Recorrente,MG,Sudeste,62771,Comida,11,319.65,Pix,WhatsApp,Devolvido,14,,1,3516.15,44.85,351.62,3209.38,2025,5,Domingo
ORD000017,2025-05-30,2529,Recorrente,RJ,Centro-Oeste,32444,Equipamento Industrial,12,225.17,Pix,Orgânico,Cancelado,13,,0,2702.04,10.03,0.0,2712.07,2025,5,Sexta-feira
ORD000018,2025-11-05,2758,Novo,PR,Centro-Oeste,51457,Papelaria,2,343.3,Boleto Bancário,Google Ads,Entregue com atraso,5,,1,686.6,55.05,68.66,672.99,2025,11,Quarta-feira
ORD000019,2025-09-15,2594,Novo,ES,Sudeste,89741,Escritórios,8,63.16,Pix,Marketplace,Entregue,8,2.0,0,505.28,34.92,0.0,540.1999999999999,2025,9,Segunda-feira
ORD000020,2025-12-10,1246,Novo,RS,Nordeste,10704,Escritórios,13,481.03,Cartão de Crédito,WhatsApp,Entregue,12,4.0,0,6253.39,41.71,0.0,6295.1,2025,12,Quarta-feira
ORD000021,2025-10-21,4711,Recorrente,PR,Centro-Oeste,15452,Papelaria,1,377.58,Cartão de Debito,Marketplace,Entregue,6,1.0,0,377.58,21.18,0.0,398.76,2025,10,Terça-feira
ORD000022,2025-07-11,4866,Recorrente,BA,Nordeste,48862,Papelaria,10,319.28,Pix,WhatsApp,Entregue com atraso,8,,0,3192.8,17.47,0.0,3210.27,2025,7,Sexta-feira
ORD000023,2025-10-04,4908,Novo,ES,Sul,71471,Limpeza,7,165.0,Cartão de Crédito,Google Ads,Entregue,7,3.0,0,1155.0,20.68,0.0,1175.68,2025,10,Sábado
ORD000024,2025-06-10,2560,Recorrente,SC,Centro-Oeste,79217,Limpeza,5,88.87,Cartão de Debito,Marketplace,Devolvido,2,,0,444.35,20.08,0.0,464.43,2025,6,Terça-feira
ORD000025,2025-11-10,3178,Recorrente,ES,Sul,96058,Bebidas,13,210.58,Boleto Bancário,Marketplace,Entregue,8,4.0,1,2737.54,52.95,273.75,2516.74,2025,11,Segunda-feira
ORD000026,2025-01-22,3400,Recorrente,RJ,Centro-Oeste,28300,Equipamento Industrial,6,334.17,Cartão de Debito,Instagram,Entregue com atraso,4,,1,2005.02,48.94,200.5,1853.46,2025,1,Quarta-feira
ORD000027,2025-09-10,3243,Novo,SP,Sul,19566,Bebidas,8,320.52,Boleto Bancário,Orgânico,Entregue,11,4.0,1,2564.16,52.34,256.42,2360.08,2025,9,Quarta-feira
ORD000028,2025-08-24,4864,Novo,SP,Centro-Oeste,17501,Bebidas,4,197.49,Cartão de Debito,Marketplace,Entregue com atraso,5,,0,789.96,46.21,0.0,836.1700000000001,2025,8,Domingo
ORD000029,2025-12-11,2939,Recorrente,BA,Nordeste,11845,Comida,6,310.51,Pix,WhatsApp,Entregue,11,5.0,0,1863.06,41.46,0.0,1904.52,2025,12,Quinta-feira
ORD000030,2025-02-18,1929,Recorrente,ES,Nordeste,49181,Escritórios,14,408.74,Boleto Bancário,Orgânico,Entregue com atraso,13,,0,5722.36,35.45,0.0,5757.8099999999995,2025,2,Terça-feira
ORD000031,2025-02-28,4737,Novo,PR,Nordeste,67263,Comida,11,22.88,Boleto Bancário,Google Ads,Entregue com atraso,8,,0,251.68,21.81,0.0,273.49,2025,2,Sexta-feira
ORD000032,2025-06-19,4453,Recorrente,BA,Sul,88766,Equipamento Industrial,3,230.8,Boleto Bancário,Orgânico,Entregue,5,3.0,1,692.4,44.68,69.24,667.8399999999999,2025,6,Quinta-feira
ORD000033,2025-07-07,4069,Recorrente,RS,Nordeste,73038,Papelaria,7,381.69,Pix,Instagram,Cancelado,5,,0,2671.83,15.1,0.0,2686.93,2025,7,Segunda-feira
ORD000034,2025-09-28,3692,Recorrente,BA,Sul,93290,Limpeza,2,277.61,Pix,Google Ads,Entregue com atraso,6,,0,555.22,34.58,0.0,589.8000000000001,2025,9,Domingo
ORD000035,2025-07-09,1226,Recorrente,BA,Centro-Oeste,44404,Equipamento Industrial,12,329.22,Cartão de Debito,Marketplace,Devolvido,7,,0,3950.64,18.15,0.0,3968.79,2025,7,Quarta-feira
ORD000036,2025-06-24,3748,Novo,SC,Sul,32564,Papelaria,8,263.17,Cartão de Debito,Google Ads,Devolvido,9,,1,2105.36,34.25,210.54,1929.0700000000002,2025,6,Terça-feira
ORD000037,2025-02-20,4547,Novo,PE,Centro-Oeste,67435,Equipamento Industrial,13,496.02,Pix,Google Ads,Devolvido,14,,0,6448.26,23.28,0.0,6471.54,2025,2,Quinta-feira
ORD000038,2025-12-30,4548,Recorrente,RJ,Sudeste,28227,Papelaria,7,36.76,Pix,Instagram,Entregue,11,3.0,1,257.32,10.78,25.73,242.37,2025,12,Terça-feira
ORD000039,2025-02-24,1264,Novo,SC,Sudeste,57475,Limpeza,12,250.61,Boleto Bancário,WhatsApp,Entregue,7,1.0,0,3007.32,34.19,0.0,3041.51,2025,2,Segunda-feira
ORD000040,2025-09-01,2395,Novo,SP,Sudeste,27215,Papelaria,12,54.79,Cartão de Debito,Google Ads,Devolvido,6,,0,657.48,17.46,0.0,674.94,2025,9,Segunda-feira
ORD000041,2025-11-16,4557,Novo,SP,Sul,81074,Bebidas,8,88.29,Cartão de Debito,WhatsApp,Entregue,12,2.0,1,706.32,16.38,70.63,652.07,2025,11,Domingo
ORD000042,2025-05-11,2457,Novo,MG,Sudeste,31699,Equipamento Industrial,2,197.69,Boleto Bancário,Orgânico,Entregue,10,3.0,0,395.38,27.99,0.0,423.37,2025,5,Domingo
ORD000043,2025-11-03,1645,Novo,MG,Sudeste,22454,Limpeza,3,86.21,Boleto Bancário,Instagram,Entregue com atraso,4,,0,258.63,26.81,0.0,285.44,2025,11,Segunda-feira
ORD000044,2025-05-15,3258,Novo,PR,Sudeste,58217,Papelaria,12,482.21,Boleto Bancário,Marketplace,Entregue,14,3.0,0,5786.52,53.08,0.0,5839.6,2025,5,Quinta-feira
ORD000045,2025-01-21,4643,Novo,SP,Centro-Oeste,31711,Bebidas,4,473.93,Cartão de Crédito,Google Ads,Entregue com atraso,11,,0,1895.72,37.36,0.0,1933.08,2025,1,Terça-feira
ORD000046,2025-11-25,4448,Novo,PE,Nordeste,25059,Bebidas,12,174.69,Cartão de Crédito,WhatsApp,Cancelado,10,,0,2096.28,52.44,0.0,2148.7200000000003,2025,11,Terça-feira
ORD000047,2025-06-16,2418,Recorrente,SC,Sul,58398,Escritórios,9,323.48,Pix,Google Ads,Entregue com atraso,12,,0,2911.32,15.64,0.0,2926.96,2025,6,Segunda-feira
ORD000048,2025-10-01,2473,Recorrente,RS,Sudeste,11286,Bebidas,12,271.54,Cartão de Debito,Instagram,Entregue,2,3.0,1,3258.48,26.58,325.85,2959.21,2025,10,Quarta-feira
ORD000049,2025-03-30,3990,Recorrente,PE,Centro-Oeste,44297,Comida,12,409.64,Boleto Bancário,Marketplace,Entregue,11,5.0,0,4915.68,36.88,0.0,4952.56,2025,3,Domingo
ORD000050,2025-11-12,2387,Novo,MG,Nordeste,36485,Limpeza,5,317.45,Boleto Bancário,Orgânico,Entregue,13,3.0,0,1587.25,15.96,0.0,1603.21,2025,11,Quarta-feira
ORD000051,2025-01-14,2899,Novo,ES,Nordeste,69967,Limpeza,6,10.12,Cartão de Debito,Orgânico,Entregue,11,1.0,0,60.72,14.66,0.0,75.38,2025,1,Terça-feira
ORD000052,2025-08-30,3504,Recorrente,PE,Nordeste,64583,Limpeza,1,383.96,Cartão de Crédito,WhatsApp,Entregue,9,5.0,0,383.96,42.39,0.0,426.34999999999997,2025,8,Sábado
ORD000053,2025-09-22,3772,Recorrente,PE,Centro-Oeste,61630,Papelaria,4,375.96,Cartão de Debito,Orgânico,Entregue,10,3.0,0,1503.84,42.0,0.0,1545.84,2025,9,Segunda-feira
ORD000054,2025-12-12,4799,Novo,PE,Sudeste,37086,Equipamento Industrial,14,259.76,Pix,WhatsApp,Entregue com atraso,11,,1,3636.64,20.18,363.66,3293.16,2025,12,Sexta-feira
ORD000055,2025-02-22,2249,Novo,PE,Nordeste,26484,Papelaria,4,452.43,Cartão de Crédito,Marketplace,Entregue com atraso,5,,1,1809.72,19.81,180.97,1648.56,2025,2,Sábado
ORD000056,2025-12-06,1981,Recorrente,PE,Centro-Oeste,78623,Comida,10,455.14,Cartão de Debito,Google Ads,Cancelado,5,,0,4551.4,46.76,0.0,4598.16,2025,12,Sábado
ORD000057,2025-04-02,2154,Novo,MG,Centro-Oeste,69263,Equipamento Industrial,8,266.72,Cartão de Debito,Instagram,Entregue com atraso,11,,0,2133.76,14.08,0.0,2147.84,2025,4,Quarta-feira
ORD000058,2025-09-21,1587,Novo,SP,Sul,28675,Bebidas,8,307.91,Pix,Marketplace,Entregue,12,4.0,0,2463.28,56.01,0.0,2519.2900000000004,2025,9,Domingo
ORD000059,2025-02-04,1475,Recorrente,BA,Centro-Oeste,70664,Papelaria,10,498.3,Cartão de Debito,Marketplace,Entregue com atraso,3,,0,4983.0,57.07,0.0,5040.07,2025,2,Terça-feira
ORD000060,2025-07-25,2821,Novo,PE,Nordeste,34680,Equipamento Industrial,6,156.42,Cartão de Crédito,Orgânico,Entregue com atraso,13,,1,938.52,53.29,93.85,897.9599999999999,2025,7,Sexta-feira
ORD000061,2025-03-22,1985,Novo,PE,Nordeste,27077,Bebidas,8,169.06,Boleto Bancário,Orgânico,Entregue,3,2.0,0,1352.48,18.96,0.0,1371.44,2025,3,Sábado
ORD000062,2025-02-19,4348,Novo,RJ,Centro-Oeste,48174,Equipamento Industrial,9,99.56,Boleto Bancário,Instagram,Entregue com atraso,1,,1,896.04,8.87,89.6,815.31,2025,2,Quarta-feira
ORD000063,2025-12-26,3203,Recorrente,SP,Nordeste,86968,Bebidas,5,448.97,Boleto Bancário,Google Ads,Entregue,12,2.0,0,2244.85,56.71,0.0,2301.56,2025,12,Sexta-feira
ORD000064,2025-01-02,4831,Novo,BA,Centro-Oeste,13491,Equipamento Industrial,1,374.8,Cartão de Crédito,Marketplace,Entregue,11,5.0,0,374.8,25.89,0.0,400.69,2025,1,Quinta-feira
ORD000065,2025-02-23,2241,Novo,RS,Nordeste,56126,Papelaria,1,61.76,Cartão de Debito,Orgânico,Devolvido,5,,0,61.76,24.14,0.0,85.9,2025,2,Domingo
ORD000066,2025-04-16,1189,Novo,RS,Sul,13392,Papelaria,2,491.07,Cartão de Debito,Marketplace,Devolvido,3,,0,982.14,21.61,0.0,1003.75,2025,4,Quarta-feira
ORD000067,2025-09-17,2440,Recorrente,ES,Sudeste,72257,Comida,2,368.17,Cartão de Debito,Google Ads,Entregue com atraso,11,,1,736.34,20.72,73.63,683.4300000000001,2025,9,Quarta-feira
ORD000068,2025-11-06,1980,Novo,GO,Sul,77804,Escritórios,5,426.76,Cartão de Debito,WhatsApp,Entregue com atraso,2,,0,2133.8,46.2,0.0,2180.0,2025,11,Quinta-feira
ORD000069,2025-07-10,2698,Recorrente,SC,Sul,48400,Limpeza,7,33.59,Boleto Bancário,Google Ads,Cancelado,11,,0,235.13,55.21,0.0,290.34,2025,7,Quinta-feira
ORD000070,2025-08-06,2715,Novo,RJ,Sudeste,46551,Papelaria,7,257.43,Cartão de Crédito,Marketplace,Devolvido,9,,0,1802.01,48.87,0.0,1850.8799999999999,2025,8,Quarta-feira
ORD000071,2025-02-13,3593,Recorrente,SP,Nordeste,38088,Papelaria,4,352.31,Pix,Marketplace,Entregue,13,5.0,1,1409.24,43.05,140.92,1311.37,2025,2,Quinta-feira
ORD000072,2025-06-11,1040,Recorrente,SP,Sudeste,90015,Bebidas,13,276.04,Cartão de Crédito,Instagram,Entregue com atraso,14,,1,3588.52,22.96,358.85,3252.63,2025,6,Quarta-feira
ORD000073,2025-07-21,3354,Novo,GO,Centro-Oeste,35465,Escritórios,4,336.66,Cartão de Debito,Marketplace,Entregue,10,2.0,0,1346.64,36.44,0.0,1383.0800000000002,2025,7,Segunda-feira
ORD000074,2025-09-27,1942,Novo,ES,Sudeste,58155,Papelaria,14,410.76,Cartão de Debito,Orgânico,Entregue,6,2.0,1,5750.64,20.32,575.06,5195.9,2025,9,Sábado
ORD000075,2025-12-17,1337,Novo,PR,Sul,97893,Equipamento Industrial,14,193.43,Cartão de Crédito,Instagram,Entregue,3,1.0,0,2708.02,13.8,0.0,2721.82,2025,12,Quarta-feira
ORD000076,2025-10-31,2337,Novo,MG,Sudeste,15969,Escritórios,11,425.85,Cartão de Crédito,Marketplace,Entregue com atraso,7,,1,4684.35,14.26,468.44,4230.170000000001,2025,10,Sexta-feira
ORD000077,2025-09-28,2098,Recorrente,ES,Nordeste,18981,Limpeza,10,89.83,Boleto Bancário,Google Ads,Cancelado,12,,1,898.3,39.4,89.83,847.8699999999999,2025,9,Domingo
ORD000078,2025-08-03,4000,Novo,BA,Sul,31032,Equipamento Industrial,3,142.73,Cartão de Debito,Marketplace,Cancelado,9,,0,428.19,10.0,0.0,438.19,2025,8,Domingo
ORD000079,2025-09-09,3326,Novo,ES,Centro-Oeste,64091,Bebidas,11,31.24,Cartão de Crédito,Google Ads,Entregue,9,2.0,0,343.64,58.61,0.0,402.25,2025,9,Terça-feira
ORD000080,2025-07-09,4247,Novo,GO,Nordeste,34408,Comida,2,188.57,Cartão de Debito,Google Ads,Entregue com atraso,1,,1,377.14,59.76,37.71,399.19,2025,7,Quarta-feira
ORD000081,2025-10-23,1895,Recorrente,GO,Sul,34241,Equipamento Industrial,3,196.16,Cartão de Crédito,Marketplace,Entregue,2,5.0,0,588.48,15.77,0.0,604.25,2025,10,Quinta-feira
ORD000082,2025-08-01,4733,Novo,SC,Centro-Oeste,57940,Limpeza,8,404.58,Cartão de Debito,Google Ads,Entregue,8,1.0,1,3236.64,30.22,323.66,2943.2,2025,8,Sexta-feira
ORD000083,2025-07-27,3320,Novo,RJ,Nordeste,92938,Equipamento Industrial,1,330.03,Cartão de Crédito,WhatsApp,Devolvido,11,,0,330.03,47.94,0.0,377.96999999999997,2025,7,Domingo
ORD000084,2025-08-25,3884,Novo,PE,Centro-Oeste,61105,Escritórios,4,223.99,Cartão de Debito,Instagram,Entregue,1,3.0,0,895.96,57.66,0.0,953.62,2025,8,Segunda-feira
ORD000085,2025-12-04,3667,Recorrente,RS,Sudeste,71050,Escritórios,7,329.54,Pix,Marketplace,Entregue com atraso,11,,1,2306.78,54.35,230.68,2130.4500000000003,2025,12,Quinta-feira
ORD000086,2025-02-22,2674,Recorrente,GO,Sudeste,13657,Limpeza,5,35.86,Boleto Bancário,WhatsApp,Entregue,12,3.0,0,179.3,21.25,0.0,200.55,2025,2,Sábado
ORD000087,2025-10-07,3909,Novo,SC,Centro-Oeste,31230,Escritórios,2,98.33,Pix,Google Ads,Entregue,11,3.0,0,196.66,12.43,0.0,209.09,2025,10,Terça-feira
ORD000088,2025-08-05,4854,Novo,MG,Sudeste,28680,Equipamento Industrial,1,317.2,Boleto Bancário,Google Ads,Entregue com atraso,14,,0,317.2,23.01,0.0,340.21,2025,8,Terça-feira
ORD000089,2025-09-09,4930,Novo,RS,Centro-Oeste,92694,Comida,6,324.27,Boleto Bancário,Instagram,Entregue,3,4.0,0,1945.62,30.74,0.0,1976.36,2025,9,Terça-feira
ORD000090,2025-07-07,1930,Novo,PR,Nordeste,94731,Equipamento Industrial,13,389.33,Cartão de Crédito,WhatsApp,Entregue,11,5.0,0,5061.29,26.72,0.0,5088.01,2025,7,Segunda-feira
ORD000091,2025-02-10,1288,Recorrente,SP,Sul,52340,Comida,13,207.47,Pix,WhatsApp,Entregue,7,1.0,1,2697.11,48.24,269.71,2475.64,2025,2,Segunda-feira
ORD000092,2025-06-06,1723,Recorrente,MG,Centro-Oeste,45950,Escritórios,5,364.05,Boleto Bancário,Marketplace,Entregue com atraso,8,,1,1820.25,21.4,182.02,1659.63,2025,6,Sexta-feira
ORD000093,2025-01-15,3940,Novo,PR,Sul,88515,Equipamento Industrial,3,345.15,Cartão de Debito,Google Ads,Devolvido,5,,0,1035.45,52.65,0.0,1088.1000000000001,2025,1,Quarta-feira
ORD000094,2025-10-28,3319,Recorrente,RS,Sul,17867,Escritórios,11,482.06,Cartão de Crédito,Orgânico,Cancelado,14,,1,5302.66,19.73,530.27,4792.119999999999,2025,10,Terça-feira
ORD000095,2025-03-06,2953,Novo,MG,Centro-Oeste,90691,Comida,11,115.41,Cartão de Crédito,Marketplace,Devolvido,2,,1,1269.51,26.79,126.95,1169.35,2025,3,Quinta-feira
ORD000096,2025-12-11,2089,Recorrente,SC,Sudeste,88542,Escritórios,11,280.32,Cartão de Debito,Marketplace,Cancelado,3,,1,3083.52,31.29,308.35,2806.46,2025,12,Quinta-feira
ORD000097,2025-11-23,1482,Recorrente,PR,Nordeste,14329,Papelaria,9,304.86,Cartão de Debito,Marketplace,Cancelado,9,,1,2743.74,23.14,274.37,2492.5099999999998,2025,11,Domingo
ORD000098,2025-01-09,1935,Novo,SP,Sul,98087,Bebidas,3,499.34,Boleto Bancário,Instagram,Entregue com atraso,13,,0,1498.02,47.85,0.0,1545.87,2025,1,Quinta-feira
ORD000099,2025-12-10,3295,Recorrente,PE,Nordeste,45865,Equipamento Industrial,2,108.58,Cartão de Debito,Instagram,Entregue com atraso,11,,0,217.16,29.3,0.0,246.46,2025,12,Quarta-feira
ORD000100,2025-05-09,1155,Novo,SC,Sul,76940,Papelaria,5,266.38,Cartão de Crédito,Marketplace,Entregue,13,4.0,0,1331.9,54.13,0.0,1386.0300000000002,2025,5,Sexta-feira
ORD000101,2025-05-16,2070,Novo,BA,Centro-Oeste,47869,Escritórios,9,179.63,Cartão de Debito,Orgânico,Cancelado,10,,1,1616.67,58.11,161.67,1513.11,2025,5,Sexta-feira
ORD000102,2025-03-04,2958,Novo,SP,Sudeste,76905,Escritórios,8,267.69,Pix,WhatsApp,Entregue,7,3.0,0,2141.52,52.71,0.0,2194.23,2025,3,Terça-feira
ORD000103,2025-05-19,3501,Novo,RJ,Nordeste,93984,Bebidas,6,123.74,Cartão de Crédito,WhatsApp,Entregue,13,4.0,0,742.44,35.18,0.0,777.62,2025,5,Segunda-feira
ORD000104,2025-03-22,3248,Recorrente,ES,Sul,99711,Escritórios,3,33.33,Cartão de Debito,Google Ads,Devolvido,1,,0,99.99,34.51,0.0,134.5,2025,3,Sábado
ORD000105,2025-06-12,2683,Recorrente,RJ,Centro-Oeste,76252,Bebidas,6,290.56,Cartão de Crédito,WhatsApp,Entregue,3,2.0,1,1743.36,19.23,174.34,1588.25,2025,6,Quinta-feira
ORD000106,2025-10-16,1123,Recorrente,GO,Centro-Oeste,89386,Equipamento Industrial,5,174.57,Boleto Bancário,WhatsApp,Devolvido,9,,1,872.85,38.8,87.29,824.36,2025,10,Quinta-feira
ORD000107,2025-09-18,3048,Recorrente,PE,Sul,11711,Comida,1,99.15,Pix,Orgânico,Entregue com atraso,7,,0,99.15,57.54,0.0,156.69,2025,9,Quinta-feira
ORD000108,2025-08-19,1967,Recorrente,BA,Sul,35801,Bebidas,5,168.73,Boleto Bancário,WhatsApp,Entregue,12,1.0,1,843.65,12.19,84.36,771.48,2025,8,Terça-feira
ORD000109,2025-02-10,4830,Novo,BA,Sul,97287,Bebidas,14,34.15,Pix,Orgânico,Entregue com atraso,13,,1,478.1,47.13,47.81,477.42,2025,2,Segunda-feira
ORD000110,2025-01-28,1854,Novo,ES,Sudeste,63270,Papelaria,7,475.72,Cartão de Debito,Instagram,Cancelado,13,,0,3330.04,53.22,0.0,3383.2599999999998,2025,1,Terça-feira
ORD000111,2025-05-15,1639,Novo,PR,Sul,81622,Escritórios,9,294.76,Cartão de Crédito,Orgânico,Entregue,13,2.0,0,2652.84,59.31,0.0,2712.15,2025,5,Quinta-feira
ORD000112,2025-07-20,3238,Recorrente,ES,Sul,65535,Equipamento Industrial,12,409.24,Cartão de Debito,Instagram,Entregue com atraso,14,,0,4910.88,25.41,0.0,4936.29,2025,7,Domingo
ORD000113,2025-11-24,2602,Recorrente,GO,Sudeste,86759,Comida,1,217.33,Boleto Bancário,Orgânico,Cancelado,2,,0,217.33,26.49,0.0,243.82000000000002,2025,11,Segunda-feira
ORD000114,2025-09-25,3563,Novo,RJ,Centro-Oeste,26220,Limpeza,3,452.62,Cartão de Crédito,Marketplace,Entregue,6,5.0,1,1357.86,19.95,135.79,1242.02,2025,9,Quinta-feira
ORD000115,2025-02-02,1441,Recorrente,BA,Sul,23392,Bebidas,8,246.83,Cartão de Debito,Instagram,Entregue,9,5.0,1,1974.64,49.03,197.46,1826.21,2025,2,Domingo
ORD000116,2025-02-17,2944,Recorrente,RJ,Nordeste,95587,Limpeza,6,291.23,Cartão de Debito,Instagram,Entregue,4,2.0,1,1747.38,15.28,174.74,1587.92,2025,2,Segunda-feira
ORD000117,2025-03-03,2838,Recorrente,SP,Centro-Oeste,12246,Escritórios,13,250.98,Cartão de Crédito,WhatsApp,Entregue,10,5.0,0,3262.74,21.92,0.0,3284.66,2025,3,Segunda-feira
ORD000118,2025-08-04,2829,Novo,PE,Nordeste,30010,Bebidas,5,369.31,Cartão de Crédito,Instagram,Entregue,2,1.0,1,1846.55,23.35,184.66,1685.2399999999998,2025,8,Segunda-feira
ORD000119,2025-10-20,3190,Novo,MG,Sul,78358,Limpeza,13,287.66,Boleto Bancário,Orgânico,Entregue com atraso,3,,0,3739.58,27.5,0.0,3767.08,2025,10,Segunda-feira
ORD000120,2025-04-09,4262,Novo,GO,Sudeste,27234,Papelaria,10,143.08,Pix,Marketplace,Entregue,7,5.0,0,1430.8,29.93,0.0,1460.73,2025,4,Quarta-feira
ORD000121,2025-06-21,1532,Novo,MG,Sudeste,59451,Limpeza,2,81.31,Pix,Marketplace,Cancelado,4,,0,162.62,37.07,0.0,199.69,2025,6,Sábado
ORD000122,2025-12-26,3274,Novo,GO,Sudeste,85205,Papelaria,3,307.0,Cartão de Crédito,WhatsApp,Entregue,7,3.0,1,921.0,57.32,92.1,886.22,2025,12,Sexta-feira
ORD000123,2025-08-02,2336,Recorrente,RS,Sul,31784,Comida,12,249.7,Pix,Orgânico,Entregue,5,2.0,1,2996.4,20.86,299.64,2717.6200000000003,2025,8,Sábado
ORD000124,2025-02-04,4700,Novo,PE,Sul,39672,Escritórios,2,57.03,Boleto Bancário,Orgânico,Entregue com atraso,14,,0,114.06,48.52,0.0,162.58,2025,2,Terça-feira
ORD000125,2025-08-15,1948,Recorrente,SP,Nordeste,11082,Equipamento Industrial,1,203.85,Pix,Google Ads,Cancelado,8,,0,203.85,43.17,0.0,247.01999999999998,2025,8,Sexta-feira
ORD000126,2025-04-11,4373,Novo,PE,Sudeste,21148,Limpeza,7,262.24,Cartão de Crédito,Instagram,Entregue com atraso,8,,0,1835.68,14.03,0.0,1849.71,2025,4,Sexta-feira
ORD000127,2025-05-11,4725,Recorrente,PR,Sul,37494,Bebidas,14,415.18,Boleto Bancário,WhatsApp,Entregue,5,1.0,0,5812.52,50.14,0.0,5862.660000000001,2025,5,Domingo
ORD000128,2025-09-14,3019,Novo,GO,Centro-Oeste,85093,Escritórios,3,47.29,Cartão de Crédito,Marketplace,Cancelado,7,,0,141.87,12.71,0.0,154.58,2025,9,Domingo
ORD000129,2025-01-05,1459,Recorrente,MG,Sul,61952,Limpeza,7,180.76,Boleto Bancário,Google Ads,Entregue,11,2.0,0,1265.32,46.42,0.0,1311.74,2025,1,Domingo
ORD000130,2025-08-06,4472,Recorrente,GO,Sul,46719,Bebidas,12,413.1,Boleto Bancário,Orgânico,Entregue,6,3.0,1,4957.2,45.22,495.72,4506.7,2025,8,Quarta-feira
ORD000131,2025-09-12,1550,Novo,PR,Centro-Oeste,58737,Bebidas,7,327.73,Cartão de Crédito,Instagram,Entregue,13,2.0,1,2294.11,43.85,229.41,2108.55,2025,9,Sexta-feira
ORD000132,2025-12-25,1392,Novo,GO,Sudeste,69453,Equipamento Industrial,8,152.08,Cartão de Debito,Marketplace,Entregue com atraso,8,,0,1216.64,22.39,0.0,1239.0300000000002,2025,12,Quinta-feira
ORD000133,2025-10-10,4938,Recorrente,PE,Centro-Oeste,49536,Equipamento Industrial,1,424.21,Cartão de Crédito,Google Ads,Entregue,9,5.0,0,424.21,37.82,0.0,462.03,2025,10,Sexta-feira
